t,v,w
0.000000, 2.279111, 4.001016
0.010000, 1.817720, 3.996383
0.020000, 1.455118, 3.987757
0.030000, 1.133098, 3.975822
0.040000, 0.822072, 3.960849
0.050000, 0.502931, 3.942870
0.060000, 0.161558, 3.921755
0.070000, -0.211607, 3.897255
0.080000, -0.618284, 3.869063
0.090000, -1.046325, 3.836921
0.100000, -1.465794, 3.800783
0.110000, -1.836087, 3.760967
0.120000, -2.125437, 3.718166
0.130000, -2.326344, 3.673268
0.140000, -2.452597, 3.627116
0.150000, -2.525745, 3.580358
0.160000, -2.564980, 3.533426
0.170000, -2.583904, 3.486588
0.180000, -2.591089, 3.440000
0.190000, -2.591621, 3.393747
0.200000, -2.588418, 3.347878
0.210000, -2.583128, 3.302418
0.220000, -2.576676, 3.257380
0.230000, -2.569580, 3.212768
0.240000, -2.562129, 3.168584
0.250000, -2.554487, 3.124827
0.260000, -2.546743, 3.081496
0.270000, -2.538951, 3.038587
0.280000, -2.531140, 2.996098
0.290000, -2.523325, 2.954026
0.300000, -2.515516, 2.912366
0.310000, -2.507720, 2.871117
0.320000, -2.499938, 2.830273
0.330000, -2.492173, 2.789832
0.340000, -2.484426, 2.749791
0.350000, -2.476697, 2.710146
0.360000, -2.468986, 2.670894
0.370000, -2.461294, 2.632031
0.380000, -2.453621, 2.593554
0.390000, -2.445967, 2.555460
0.400000, -2.438332, 2.517746
0.410000, -2.430715, 2.480409
0.420000, -2.423118, 2.443445
0.430000, -2.415539, 2.406850
0.440000, -2.407979, 2.370623
0.450000, -2.400437, 2.334760
0.460000, -2.392914, 2.299257
0.470000, -2.385410, 2.264112
0.480000, -2.377924, 2.229322
0.490000, -2.370457, 2.194884
0.500000, -2.363008, 2.160794
0.510000, -2.355578, 2.127050
0.520000, -2.348166, 2.093649
0.530000, -2.340773, 2.060587
0.540000, -2.333398, 2.027863
0.550000, -2.326041, 1.995472
0.560000, -2.318703, 1.963413
0.570000, -2.311382, 1.931683
0.580000, -2.304080, 1.900278
0.590000, -2.296796, 1.869196
0.600000, -2.289530, 1.838434
0.610000, -2.282282, 1.807989
0.620000, -2.275052, 1.777860
0.630000, -2.267840, 1.748042
0.640000, -2.260647, 1.718533
0.650000, -2.253471, 1.689331
0.660000, -2.246312, 1.660434
0.670000, -2.239172, 1.631837
0.680000, -2.232050, 1.603540
0.690000, -2.224945, 1.575539
0.700000, -2.217858, 1.547832
0.710000, -2.210789, 1.520416
0.720000, -2.203737, 1.493288
0.730000, -2.196703, 1.466447
0.740000, -2.189687, 1.439890
0.750000, -2.182688, 1.413615
0.760000, -2.175707, 1.387618
0.770000, -2.168743, 1.361898
0.780000, -2.161797, 1.336452
0.790000, -2.154868, 1.311278
0.800000, -2.147957, 1.286373
0.810000, -2.141063, 1.261736
0.820000, -2.134186, 1.237363
0.830000, -2.127327, 1.213254
0.840000, -2.120485, 1.189404
0.850000, -2.113660, 1.165813
0.860000, -2.106853, 1.142477
0.870000, -2.100062, 1.119395
0.880000, -2.093289, 1.096565
0.890000, -2.086533, 1.073984
0.900000, -2.079794, 1.051650
0.910000, -2.073072, 1.029561
0.920000, -2.066368, 1.007715
0.930000, -2.059680, 0.986109
0.940000, -2.053009, 0.964743
0.950000, -2.046356, 0.943612
0.960000, -2.039719, 0.922717
0.970000, -2.033099, 0.902054
0.980000, -2.026496, 0.881621
0.990000, -2.019910, 0.861417
1.000000, -2.013341, 0.841440
1.010000, -2.006789, 0.821687
1.020000, -2.000253, 0.802156
1.030000, -1.993735, 0.782847
1.040000, -1.987233, 0.763756
1.050000, -1.980748, 0.744881
1.060000, -1.974279, 0.726222
1.070000, -1.967828, 0.707776
1.080000, -1.961393, 0.689540
