t,v,w
0.000000, 2.310387, 4.001183
0.010000, 1.874950, 3.996990
0.020000, 1.539870, 3.989063
0.030000, 1.249764, 3.978117
0.040000, 0.977272, 3.964473
0.050000, 0.705396, 3.948239
0.060000, 0.421598, 3.929376
0.070000, 0.115940, 3.907735
0.080000, -0.218446, 3.883082
0.090000, -0.582662, 3.855145
0.100000, -0.967621, 3.823685
0.110000, -1.350784, 3.788627
0.120000, -1.699852, 3.750174
0.130000, -1.985734, 3.708847
0.140000, -2.195899, 3.665377
0.150000, -2.336296, 3.620518
0.160000, -2.422910, 3.574902
0.170000, -2.472678, 3.528983
0.180000, -2.498997, 3.483061
0.190000, -2.511038, 3.437320
0.200000, -2.514595, 3.391869
0.210000, -2.513179, 3.346773
0.220000, -2.508866, 3.302066
0.230000, -2.502872, 3.257767
0.240000, -2.495905, 3.213886
0.250000, -2.488374, 3.170427
0.260000, -2.480521, 3.127392
0.270000, -2.472484, 3.084778
0.280000, -2.464345, 3.042585
0.290000, -2.456151, 3.000809
0.300000, -2.447932, 2.959448
0.310000, -2.439703, 2.918498
0.320000, -2.431475, 2.877956
0.330000, -2.423254, 2.837820
0.340000, -2.415042, 2.798085
0.350000, -2.406842, 2.758749
0.360000, -2.398656, 2.719807
0.370000, -2.390483, 2.681258
0.380000, -2.382324, 2.643096
0.390000, -2.374180, 2.605320
0.400000, -2.366050, 2.567927
0.410000, -2.357935, 2.530912
0.420000, -2.349834, 2.494272
0.430000, -2.341748, 2.458005
0.440000, -2.333676, 2.422108
0.450000, -2.325618, 2.386577
0.460000, -2.317574, 2.351410
0.470000, -2.309545, 2.316602
0.480000, -2.301530, 2.282152
0.490000, -2.293528, 2.248056
0.500000, -2.285541, 2.214312
0.510000, -2.277567, 2.180915
0.520000, -2.269607, 2.147865
0.530000, -2.261661, 2.115156
0.540000, -2.253728, 2.082788
0.550000, -2.245808, 2.050756
0.560000, -2.237902, 2.019059
0.570000, -2.230009, 1.987692
0.580000, -2.222129, 1.956655
0.590000, -2.214262, 1.925942
0.600000, -2.206408, 1.895553
0.610000, -2.198566, 1.865485
0.620000, -2.190738, 1.835733
0.630000, -2.182922, 1.806297
0.640000, -2.175118, 1.777173
0.650000, -2.167327, 1.748359
0.660000, -2.159549, 1.719852
0.670000, -2.151782, 1.691650
0.680000, -2.144028, 1.663749
0.690000, -2.136285, 1.636148
0.700000, -2.128555, 1.608844
0.710000, -2.120836, 1.581835
0.720000, -2.113129, 1.555117
0.730000, -2.105433, 1.528690
0.740000, -2.097749, 1.502549
0.750000, -2.090076, 1.476693
0.760000, -2.082414, 1.451120
0.770000, -2.074764, 1.425826
0.780000, -2.067124, 1.400810
0.790000, -2.059495, 1.376070
0.800000, -2.051877, 1.351602
0.810000, -2.044270, 1.327406
0.820000, -2.036673, 1.303478
0.830000, -2.029087, 1.279816
0.840000, -2.021511, 1.256418
0.850000, -2.013945, 1.233282
