t,v,w
0.000000, 2.271268, 4.000974
0.010000, 1.803282, 3.996231
0.020000, 1.433577, 3.987427
0.030000, 1.103197, 3.975240
0.040000, 0.781951, 3.959925
0.050000, 0.450199, 3.941493
0.060000, 0.093571, 3.919790
0.070000, -0.296883, 3.894543
0.080000, -0.720457, 3.865437
0.090000, -1.160166, 3.832241
0.100000, -1.580472, 3.794992
0.110000, -1.938941, 3.754129
0.120000, -2.208372, 3.710453
0.130000, -2.388552, 3.664896
0.140000, -2.498037, 3.618279
0.150000, -2.559499, 3.571200
0.160000, -2.591277, 3.524046
0.170000, -2.605680, 3.477046
0.180000, -2.610215, 3.430330
0.190000, -2.609229, 3.383973
0.200000, -2.605180, 3.338011
0.210000, -2.599439, 3.292465
0.220000, -2.592765, 3.247345
0.230000, -2.585581, 3.202653
0.240000, -2.578120, 3.158390
0.250000, -2.570513, 3.114556
0.260000, -2.562833, 3.071146
0.270000, -2.555120, 3.028159
0.280000, -2.547397, 2.985592
0.290000, -2.539677, 2.943441
0.300000, -2.531968, 2.901702
0.310000, -2.524273, 2.860373
0.320000, -2.516594, 2.819450
0.330000, -2.508934, 2.778929
0.340000, -2.501293, 2.738807
0.350000, -2.493671, 2.699081
0.360000, -2.486068, 2.659747
0.370000, -2.478485, 2.620803
0.380000, -2.470922, 2.582244
0.390000, -2.463378, 2.544067
0.400000, -2.455854, 2.506270
0.410000, -2.448350, 2.468849
0.420000, -2.440865, 2.431800
0.430000, -2.433400, 2.395122
0.440000, -2.425954, 2.358809
0.450000, -2.418529, 2.322861
0.460000, -2.411122, 2.287272
0.470000, -2.403735, 2.252041
0.480000, -2.396368, 2.217164
0.490000, -2.389019, 2.182638
0.500000, -2.381691, 2.148460
0.510000, -2.374381, 2.114628
0.520000, -2.367091, 2.081137
0.530000, -2.359820, 2.047987
0.540000, -2.352569, 2.015172
0.550000, -2.345336, 1.982692
0.560000, -2.338123, 1.950542
0.570000, -2.330929, 1.918719
0.580000, -2.323754, 1.887222
0.590000, -2.316599, 1.856048
0.600000, -2.309462, 1.825193
0.610000, -2.302344, 1.794655
0.620000, -2.295246, 1.764431
0.630000, -2.288166, 1.734518
0.640000, -2.281105, 1.704914
0.650000, -2.274063, 1.675616
0.660000, -2.267040, 1.646622
0.670000, -2.260036, 1.617929
0.680000, -2.253051, 1.589534
0.690000, -2.246085, 1.561434
0.700000, -2.239137, 1.533628
0.710000, -2.232208, 1.506113
0.720000, -2.225298, 1.478885
0.730000, -2.218407, 1.451944
0.740000, -2.211534, 1.425285
0.750000, -2.204680, 1.398908
0.760000, -2.197845, 1.372808
0.770000, -2.191028, 1.346985
0.780000, -2.184230, 1.321435
0.790000, -2.177451, 1.296157
0.800000, -2.170690, 1.271147
0.810000, -2.163947, 1.246404
0.820000, -2.157223, 1.221925
0.830000, -2.150518, 1.197708
0.840000, -2.143831, 1.173750
0.850000, -2.137163, 1.150050
0.860000, -2.130513, 1.126606
0.870000, -2.123881, 1.103414
0.880000, -2.117268, 1.080473
0.890000, -2.110673, 1.057780
0.900000, -2.104097, 1.035334
0.910000, -2.097539, 1.013132
0.920000, -2.090999, 0.991172
0.930000, -2.084478, 0.969453
0.940000, -2.077975, 0.947971
0.950000, -2.071490, 0.926725
0.960000, -2.065024, 0.905713
0.970000, -2.058575, 0.884932
0.980000, -2.052146, 0.864382
0.990000, -2.045734, 0.844059
1.000000, -2.039341, 0.823961
1.010000, -2.032965, 0.804088
1.020000, -2.026608, 0.784436
1.030000, -2.020270, 0.765004
1.040000, -2.013949, 0.745790
1.050000, -2.007647, 0.726792
1.060000, -2.001363, 0.708008
1.070000, -1.995097, 0.689436
1.080000, -1.988849, 0.671074
1.090000, -1.982619, 0.652921
1.100000, -1.976408, 0.634974
1.110000, -1.970214, 0.617233
1.120000, -1.964039, 0.599694
1.130000, -1.957882, 0.582356
1.140000, -1.951743, 0.565218
1.150000, -1.945622, 0.548277
1.160000, -1.939520, 0.531532
1.170000, -1.933435, 0.514982
1.180000, -1.927369, 0.498623
1.190000, -1.921321, 0.482456
1.200000, -1.915291, 0.466477
1.210000, -1.909279, 0.450686
1.220000, -1.903285, 0.435080
1.230000, -1.897309, 0.419658
1.240000, -1.891352, 0.404419
1.250000, -1.885412, 0.389360
1.260000, -1.879491, 0.374480
1.270000, -1.873588, 0.359778
1.280000, -1.867703, 0.345251
1.290000, -1.861836, 0.330899
1.300000, -1.855988, 0.316720
1.310000, -1.850158, 0.302711
1.320000, -1.844346, 0.288873
1.330000, -1.838552, 0.275202
1.340000, -1.832776, 0.261698
1.350000, -1.827019, 0.248359
1.360000, -1.821279, 0.235183
1.370000, -1.815558, 0.222170
1.380000, -1.809856, 0.209317
1.390000, -1.804171, 0.196623
1.400000, -1.798505, 0.184087
1.410000, -1.792858, 0.171707
1.420000, -1.787228, 0.159482
1.430000, -1.781617, 0.147410
1.440000, -1.776025, 0.135491
1.450000, -1.770450, 0.123722
1.460000, -1.764895, 0.112102
1.470000, -1.759357, 0.100630
