t,v,w
0.000000, 2.294768, 4.001099
0.010000, 1.846439, 3.996687
0.020000, 1.497775, 3.988412
0.030000, 1.192015, 3.976976
0.040000, 0.900725, 3.962676
0.050000, 0.605864, 3.945583
0.060000, 0.294023, 3.925614
0.070000, -0.044888, 3.902570
0.080000, -0.415970, 3.876176
0.090000, -0.814961, 3.846147
0.100000, -1.223119, 3.812315
0.110000, -1.607413, 3.774776
0.120000, -1.932154, 3.733979
0.130000, -2.176490, 3.690666
0.140000, -2.341792, 3.645666
0.150000, -2.444196, 3.599709
0.160000, -2.503064, 3.553330
0.170000, -2.534325, 3.506884
0.180000, -2.548961, 3.460587
0.190000, -2.553872, 3.414566
0.200000, -2.553184, 3.368893
0.210000, -2.549296, 3.323609
0.220000, -2.543587, 3.278734
0.230000, -2.536844, 3.234280
0.240000, -2.529516, 3.190250
0.250000, -2.521859, 3.146645
0.260000, -2.514021, 3.103466
0.270000, -2.506085, 3.060709
0.280000, -2.498100, 3.018372
0.290000, -2.490093, 2.976452
0.300000, -2.482081, 2.934945
0.310000, -2.474073, 2.893850
0.320000, -2.466074, 2.853161
0.330000, -2.458088, 2.812877
0.340000, -2.450117, 2.772992
0.350000, -2.442161, 2.733505
0.360000, -2.434222, 2.694412
0.370000, -2.426299, 2.655709
0.380000, -2.418394, 2.617394
0.390000, -2.410504, 2.579462
0.400000, -2.402632, 2.541911
0.410000, -2.394777, 2.504738
0.420000, -2.386939, 2.467939
0.430000, -2.379117, 2.431511
0.440000, -2.371312, 2.395451
0.450000, -2.363524, 2.359756
0.460000, -2.355753, 2.324423
0.470000, -2.347998, 2.289449
0.480000, -2.340260, 2.254831
0.490000, -2.332538, 2.220566
0.500000, -2.324833, 2.186650
0.510000, -2.317144, 2.153082
0.520000, -2.309471, 2.119857
0.530000, -2.301814, 2.086974
0.540000, -2.294174, 2.054428
0.550000, -2.286550, 2.022218
0.560000, -2.278941, 1.990341
0.570000, -2.271349, 1.958793
0.580000, -2.263773, 1.927572
0.590000, -2.256213, 1.896676
0.600000, -2.248668, 1.866100
0.610000, -2.241139, 1.835844
0.620000, -2.233626, 1.805903
0.630000, -2.226128, 1.776276
