t,v,w
0.000000, -0.756836, 3.812226
0.100000, -0.045110, 3.403540
0.200000, -2.017709, 3.075507
0.300000, 1.709506, 2.679731
0.400000, 0.570858, 2.645426
0.500000, -1.100874, 2.490375
0.600000, -1.278126, 2.191405
0.700000, -1.328045, 1.913642
0.800000, -1.514909, 1.661195
0.900000, -1.572689, 1.425256
1.000000, -1.658116, 1.211392
1.100000, -1.690351, 1.016707
1.200000, -1.664759, 0.841834
1.300000, -1.597433, 0.686942
1.400000, -1.511524, 0.551852
1.500000, -1.416929, 0.435926
1.600000, -1.314552, 0.338393
1.700000, -1.201251, 0.258705
1.800000, -1.069878, 0.196843
1.900000, -0.904848, 0.153827
2.000000, -0.666596, 0.133040
2.100000, -0.231161, 0.144595
2.200000, 0.770322, 0.221044
2.300000, 1.779799, 0.406321
2.400000, 1.671925, 0.627793
2.500000, 1.694039, 0.821503
2.600000, 1.705981, 0.995192
2.700000, 1.674448, 1.150505
2.800000, 1.612354, 1.287789
2.900000, 1.537651, 1.407532
3.000000, 1.458098, 1.510567
3.100000, 1.375221, 1.597855
3.200000, 1.288277, 1.670269
3.300000, 1.195264, 1.728479
3.400000, 1.092532, 1.772833
3.500000, 0.973140, 1.803164
3.600000, 0.822277, 1.818327
3.700000, 0.602840, 1.814961
3.800000, 0.202035, 1.783508
3.900000, -0.706717, 1.694542
4.000000, -1.723532, 1.505185
4.100000, -1.676298, 1.276486
4.200000, -1.697965, 1.074197
4.300000, -1.680584, 0.892955
4.400000, -1.619544, 0.732033
4.500000, -1.536326, 0.591160
4.600000, -1.443391, 0.469737
4.700000, -1.342998, 0.366966
4.800000, -1.232807, 0.282205
4.900000, -1.106881, 0.215262
5.000000, -0.952562, 0.166813
5.100000, -0.739190, 0.139418
5.200000, -0.375728, 0.140681
5.300000, 0.439607, 0.194896
5.400000, 1.656483, 0.354845
5.500000, 1.575936, 0.577057
5.600000, 1.662509, 0.772113
5.700000, 1.699590, 0.950037
5.800000, 1.685659, 1.110141
5.900000, 1.632207, 1.252361
6.000000, 1.560613, 1.376962
6.100000, 1.482459, 1.484637
6.200000, 1.400812, 1.576323
6.300000, 1.315480, 1.652929
6.400000, 1.224874, 1.715197
6.500000, 1.125991, 1.763592
6.600000, 1.013259, 1.798143
6.700000, 0.875287, 1.818102
6.800000, 0.685124, 1.821058
6.900000, 0.365815, 1.800273
7.000000, -0.330035, 1.735316
7.100000, -1.503759, 1.577621
7.200000, -1.617075, 1.351204
7.300000, -1.677563, 1.143462
7.400000, -1.687319, 0.955584
7.500000, -1.642592, 0.787696
7.600000, -1.565883, 0.639847
7.700000, -1.475867, 0.511667
7.800000, -1.378095, 0.402420
7.900000, -1.271609, 0.311388
8.000000, -1.151855, 0.238196
8.100000, -1.009100, 0.183159
8.200000, -0.820994, 0.148018
8.300000, -0.525821, 0.138044
8.400000, 0.083076, 0.169557
8.500000, 1.319947, 0.290480
8.600000, 1.626771, 0.502768
8.700000, 1.646596, 0.708093
8.800000, 1.694395, 0.892318
8.900000, 1.696709, 1.058540
9.000000, 1.653917, 1.206828
9.100000, 1.586532, 1.337348
9.200000, 1.510000, 1.450666
9.300000, 1.429504, 1.547671
9.400000, 1.345595, 1.629307
9.500000, 1.257103, 1.696384
9.600000, 1.161585, 1.749475
9.700000, 1.054583, 1.788788
9.800000, 0.927343, 1.813902
9.900000, 0.760278, 1.823152
10.000000, 0.501193, 1.811843
10.100000, -0.016548, 1.766241
10.200000, -1.122600, 1.645990
10.300000, -1.716476, 1.433200
10.400000, -1.695814, 1.212606
10.500000, -1.701862, 1.016569
10.600000, -1.665693, 0.841539
10.700000, -1.594276, 0.686891
10.800000, -1.506885, 0.552202
10.900000, -1.411445, 0.436740
11.000000, -1.308187, 0.339713
11.100000, -1.193652, 0.260592
11.200000, -1.060262, 0.199405
11.300000, -0.891398, 0.157281
11.400000, -0.644259, 0.137886
11.500000, -0.182690, 0.152239
11.600000, 0.874406, 0.235697
11.700000, 1.781043, 0.427038
11.800000, 1.681253, 0.646493
11.900000, 1.699406, 0.838730
12.000000, 1.706474, 1.010914
12.100000, 1.671445, 1.164694
12.200000, 1.607834, 1.300466
12.300000, 1.532667, 1.418765
12.400000, 1.452945, 1.520446
12.500000, 1.369919, 1.606472
12.600000, 1.282743, 1.677703
12.700000, 1.189335, 1.734792
12.800000, 1.085911, 1.778060
12.900000, 0.965233, 1.807297
13.000000, 0.811741, 1.821270
13.100000, 0.586015, 1.816407
13.200000, 0.166969, 1.782507
13.300000, -0.781900, 1.688226
13.400000, -1.740676, 1.493746
13.500000, -1.690064, 1.265696
13.600000, -1.702683, 1.064079
13.700000, -1.679358, 0.883799
13.800000, -1.615408, 0.723950
13.900000, -1.531195, 0.584169
14.000000, -1.437865, 0.463800
14.100000, -1.337141, 0.362033
14.200000, -1.226475, 0.278236
14.300000, -1.099722, 0.212244
14.400000, -0.943768, 0.164786
14.500000, -0.726613, 0.138548
14.600000, -0.352347, 0.141511
14.700000, 0.493599, 0.199243
14.800000, 1.688138, 0.363864
14.900000, 1.591785, 0.586445
15.000000, 1.666702, 0.781177
15.100000, 1.700293, 0.958228
15.200000, 1.683174, 1.117396
15.300000, 1.627831, 1.258655
15.400000, 1.555367, 1.382292
15.500000, 1.476654, 1.489024
15.600000, 1.394418, 1.579785
15.700000, 1.308319, 1.655475
15.800000, 1.216627, 1.716809
15.900000, 1.116103, 1.764212
16.000000, 1.000682, 1.797646
16.100000, 0.857758, 1.816220
16.200000, 0.656856, 1.817187
16.300000, 0.308708, 1.792835
16.400000, -0.467830, 1.719517
16.500000, -1.611992, 1.548690
16.600000, -1.623781, 1.319982
16.700000, -1.681446, 1.115121
16.800000, -1.684804, 0.929975
16.900000, -1.635388, 0.764769
17.000000, -1.556900, 0.619522
17.100000, -1.466393, 0.493804
17.200000, -1.368396, 0.386855
17.300000, -1.261591, 0.297967
17.400000, -1.141188, 0.226799
17.500000, -0.997029, 0.173724
17.600000, -0.805609, 0.140605
17.700000, -0.501270, 0.133044
17.800000, 0.136524, 0.168452
17.900000, 1.383349, 0.296312
18.000000, 1.601399, 0.511095
18.100000, 1.648440, 0.714143
18.200000, 1.695279, 0.897526
18.300000, 1.694095, 1.062939
18.400000, 1.648452, 1.210366
18.500000, 1.579543, 1.339981
18.600000, 1.502040, 1.452371
18.700000, 1.420580, 1.548434
18.800000, 1.335471, 1.629096
18.900000, 1.245345, 1.695140
19.000000, 1.147455, 1.747089
19.100000, 1.036729, 1.785059
19.200000, 0.902977, 1.808460
19.300000, 0.722670, 1.815225
19.400000, 0.430513, 1.799576
19.500000, -0.185172, 1.744197
19.600000, -1.360130, 1.602653
19.700000, -1.643068, 1.380718
19.800000, -1.678592, 1.168358
19.900000, -1.693010, 0.977404
20.000000, -1.655105, 0.806580
20.100000, -1.582234, 0.655788
20.200000, -1.494456, 0.524684
20.300000, -1.398911, 0.412541
20.400000, -1.295462, 0.318590
20.500000, -1.180422, 0.242338
20.600000, -1.045839, 0.183877
20.700000, -0.874132, 0.144452
20.800000, -0.619431, 0.128007
20.900000, -0.134159, 0.146429
21.000000, 0.965442, 0.237510
21.100000, 1.766389, 0.434334
21.200000, 1.680312, 0.652114
21.300000, 1.701111, 0.843306
21.400000, 1.704346, 1.014643
21.500000, 1.665361, 1.167523
21.600000, 1.599501, 1.302322
21.700000, 1.523035, 1.419601
21.800000, 1.442152, 1.520235
21.900000, 1.357742, 1.605173
22.000000, 1.268724, 1.675249
22.100000, 1.172695, 1.731058
22.200000, 1.065252, 1.772832
22.300000, 0.937762, 1.800185
22.400000, 0.770987, 1.811498
22.500000, 0.513844, 1.802185
22.600000, 0.003266, 1.758823
22.700000, -1.098033, 1.641569
22.800000, -1.723406, 1.430244
22.900000, -1.696328, 1.209215
23.000000, -1.703453, 1.013018
23.100000, -1.670154, 0.837799
23.200000, -1.600842, 0.682857
23.300000, -1.514941, 0.547765
23.400000, -1.421043, 0.431795
