t,v,w
0.000000, 2.302583, 4.001141
0.010000, 1.860720, 3.996838
0.020000, 1.518892, 3.988738
0.030000, 1.221035, 3.977548
0.040000, 0.939260, 3.963578
0.050000, 0.656056, 3.946918
0.060000, 0.358434, 3.927507
0.070000, 0.036313, 3.905172
0.080000, -0.316467, 3.879656
0.090000, -0.698634, 3.850678
0.100000, -1.096556, 3.818028
0.110000, -1.482274, 3.781707
0.120000, -1.820945, 3.742041
0.130000, -2.086717, 3.699668
0.140000, -2.273938, 3.655379
0.150000, -2.394224, 3.609927
0.160000, -2.465813, 3.563897
0.170000, -2.505401, 3.517693
0.180000, -2.525221, 3.471570
0.190000, -2.533262, 3.425681
0.200000, -2.534418, 3.380115
0.210000, -2.531592, 3.334922
0.220000, -2.526473, 3.290131
0.230000, -2.520039, 3.245754
0.240000, -2.512851, 3.201799
0.250000, -2.505234, 3.158268
0.260000, -2.497374, 3.115162
0.270000, -2.489379, 3.072478
0.280000, -2.481313, 3.030214
0.290000, -2.473211, 2.988367
0.300000, -2.465095, 2.946934
0.310000, -2.456978, 2.905913
0.320000, -2.448866, 2.865299
0.330000, -2.440764, 2.825090
0.340000, -2.432675, 2.785281
0.350000, -2.424599, 2.745871
0.360000, -2.416539, 2.706854
0.370000, -2.408494, 2.668229
0.380000, -2.400464, 2.629992
0.390000, -2.392450, 2.592139
0.400000, -2.384452, 2.554667
0.410000, -2.376469, 2.517574
0.420000, -2.368503, 2.480856
0.430000, -2.360552, 2.444509
0.440000, -2.352616, 2.408532
0.450000, -2.344696, 2.372919
0.460000, -2.336792, 2.337670
0.470000, -2.328903, 2.302780
0.480000, -2.321030, 2.268246
0.490000, -2.313171, 2.234066
0.500000, -2.305328, 2.200237
0.510000, -2.297500, 2.166755
0.520000, -2.289688, 2.133618
0.530000, -2.281890, 2.100822
0.540000, -2.274107, 2.068366
0.550000, -2.266339, 2.036245
0.560000, -2.258585, 2.004458
0.570000, -2.250846, 1.973001
0.580000, -2.243122, 1.941872
0.590000, -2.235413, 1.911068
0.600000, -2.227717, 1.880586
0.610000, -2.220037, 1.850424
0.620000, -2.212370, 1.820578
0.630000, -2.204718, 1.791046
0.640000, -2.197079, 1.761826
0.650000, -2.189455, 1.732914
0.660000, -2.181845, 1.704309
0.670000, -2.174249, 1.676008
0.680000, -2.166666, 1.648007
0.690000, -2.159097, 1.620305
0.700000, -2.151542, 1.592900
0.710000, -2.144000, 1.565787
0.720000, -2.136472, 1.538966
0.730000, -2.128958, 1.512434
0.740000, -2.121456, 1.486187
0.750000, -2.113968, 1.460225
0.760000, -2.106493, 1.434543
0.770000, -2.099031, 1.409141
0.780000, -2.091582, 1.384016
0.790000, -2.084145, 1.359165
0.800000, -2.076722, 1.334585
0.810000, -2.069311, 1.310276
0.820000, -2.061913, 1.286234
0.830000, -2.054528, 1.262457
0.840000, -2.047155, 1.238943
0.850000, -2.039794, 1.215690
0.860000, -2.032445, 1.192696
0.870000, -2.025109, 1.169958
0.880000, -2.017785, 1.147474
0.890000, -2.010473, 1.125242
0.900000, -2.003172, 1.103260
0.910000, -1.995884, 1.081525
0.920000, -1.988607, 1.060037
0.930000, -1.981342, 1.038792
0.940000, -1.974088, 1.017789
0.950000, -1.966846, 0.997025
0.960000, -1.959615, 0.976499
0.970000, -1.952395, 0.956208
0.980000, -1.945187, 0.936151
0.990000, -1.937989, 0.916325
1.000000, -1.930803, 0.896729
1.010000, -1.923627, 0.877361
1.020000, -1.916462, 0.858218
1.030000, -1.909307, 0.839299
1.040000, -1.902163, 0.820603
1.050000, -1.895030, 0.802126
1.060000, -1.887907, 0.783867
1.070000, -1.880794, 0.765825
1.080000, -1.873691, 0.747998
1.090000, -1.866598, 0.730383
1.100000, -1.859515, 0.712979
1.110000, -1.852442, 0.695784
1.120000, -1.845378, 0.678797
1.130000, -1.838324, 0.662015
1.140000, -1.831280, 0.645438
1.150000, -1.824244, 0.629062
1.160000, -1.817218, 0.612887
1.170000, -1.810201, 0.596911
1.180000, -1.803193, 0.581132
1.190000, -1.796193, 0.565549
1.200000, -1.789203, 0.550159
1.210000, -1.782220, 0.534961
1.220000, -1.775247, 0.519955
1.230000, -1.768281, 0.505137
1.240000, -1.761324, 0.490506
1.250000, -1.754375, 0.476062
1.260000, -1.747433, 0.461801
1.270000, -1.740500, 0.447724
1.280000, -1.733574, 0.433827
1.290000, -1.726655, 0.420110
1.300000, -1.719744, 0.406572
1.310000, -1.712840, 0.393210
1.320000, -1.705943, 0.380023
1.330000, -1.699053, 0.367010
