t,v,w
0.000000, 1.923098, 3.997202
0.020000, 1.381925, 3.980065
0.040000, 0.961251, 3.953919
0.060000, 0.562346, 3.920164
0.080000, 0.134737, 3.878812
0.100000, -0.353126, 3.829066
0.120000, -0.898862, 3.769802
0.140000, -1.432660, 3.700593
0.160000, -1.841524, 3.622966
0.180000, -2.076822, 3.540187
0.200000, -2.180197, 3.455469
0.220000, -2.211412, 3.370853
0.240000, -2.209182, 3.287344
0.260000, -2.192889, 3.205368
0.280000, -2.171430, 3.125079
0.300000, -2.148845, 3.046506
0.320000, -2.127030, 2.969623
0.340000, -2.106932, 2.894377
0.360000, -2.089062, 2.820702
0.380000, -2.073716, 2.748527
0.400000, -2.061070, 2.677776
0.420000, -2.051215, 2.608371
0.440000, -2.044175, 2.540234
0.460000, -2.039914, 2.473292
0.480000, -2.038338, 2.407469
0.500000, -2.039296, 2.342697
0.520000, -2.042590, 2.278911
0.540000, -2.047974, 2.216050
0.560000, -2.055167, 2.154062
0.580000, -2.063862, 2.092899
0.600000, -2.073733, 2.032523
0.620000, -2.084446, 1.972900
0.640000, -2.095670, 1.914005
0.660000, -2.107081, 1.855820
0.680000, -2.118371, 1.798332
0.700000, -2.129250, 1.741537
0.720000, -2.139452, 1.685434
0.740000, -2.148732, 1.630027
0.760000, -2.156869, 1.575327
0.780000, -2.163663, 1.521347
0.800000, -2.168935, 1.468103
0.820000, -2.172525, 1.415616
0.840000, -2.174291, 1.363910
0.860000, -2.174104, 1.313008
0.880000, -2.171850, 1.262938
0.900000, -2.167423, 1.213729
0.920000, -2.160730, 1.165411
0.940000, -2.151682, 1.118016
0.960000, -2.140199, 1.071578
0.980000, -2.126204, 1.026129
1.000000, -2.109624, 0.981704
1.020000, -2.090385, 0.938340
1.040000, -2.068415, 0.896074
1.060000, -2.043638, 0.854941
1.080000, -2.015976, 0.814982
1.100000, -1.985341, 0.776235
1.120000, -1.951638, 0.738742
1.140000, -1.914755, 0.702544
1.160000, -1.874565, 0.667685
1.180000, -1.830915, 0.634210
1.200000, -1.783622, 0.602170
1.220000, -1.732460, 0.571614
1.240000, -1.677148, 0.542598
1.260000, -1.617334, 0.515186
1.280000, -1.552565, 0.489443
1.300000, -1.482259, 0.465448
1.320000, -1.405650, 0.443290
1.340000, -1.321722, 0.423075
1.360000, -1.229102, 0.404930
1.380000, -1.125910, 0.389011
1.400000, -1.009530, 0.375519
1.420000, -0.876272, 0.364711
1.440000, -0.720879, 0.356929
1.460000, -0.535871, 0.352633
1.480000, -0.310853, 0.352454
1.500000, -0.032540, 0.357249
1.520000, 0.312140, 0.368132
1.540000, 0.724724, 0.386376
1.560000, 1.173303, 0.412967
1.580000, 1.583150, 0.447794
1.600000, 1.881263, 0.489173
1.620000, 2.054041, 0.534538
1.640000, 2.135610, 0.581632
1.660000, 2.164520, 0.629017
1.680000, 2.165833, 0.675916
1.700000, 2.152733, 0.721936
1.720000, 2.131561, 0.766878
1.740000, 2.105253, 0.810633
1.760000, 2.075144, 0.853131
1.780000, 2.041828, 0.894325
1.800000, 2.005556, 0.934174
1.820000, 1.966412, 0.972642
1.840000, 1.924398, 1.009695
1.860000, 1.879469, 1.045297
1.880000, 1.831547, 1.079413
1.900000, 1.780522, 1.112005
1.920000, 1.726257, 1.143036
1.940000, 1.668572, 1.172465
1.960000, 1.607241, 1.200245
1.980000, 1.541973, 1.226329
2.000000, 1.472392, 1.250662
2.020000, 1.398010, 1.273182
2.040000, 1.318180, 1.293815
2.060000, 1.232047, 1.312476
2.080000, 1.138456, 1.329059
2.100000, 1.035838, 1.343436
2.120000, 0.922037, 1.355441
2.140000, 0.794063, 1.364863
2.160000, 0.647759, 1.371421
2.180000, 0.477387, 1.374745
2.200000, 0.275269, 1.374334
2.220000, 0.031974, 1.369526
2.240000, -0.261595, 1.359479
2.260000, -0.607563, 1.343238
2.280000, -0.988359, 1.319990
2.300000, -1.357306, 1.289576
2.320000, -1.655837, 1.252939
2.340000, -1.853176, 1.211952
2.360000, -1.959568, 1.168643
2.380000, -2.003421, 1.124582
2.400000, -2.009816, 1.080758
2.420000, -1.994768, 1.037737
2.440000, -1.967153, 0.995834
2.460000, -1.931579, 0.955228
2.480000, -1.890362, 0.916032
2.500000, -1.844624, 0.878322
2.520000, -1.794869, 0.842159
2.540000, -1.741261, 0.807595
2.560000, -1.683767, 0.774682
2.580000, -1.622212, 0.743472
2.600000, -1.556302, 0.714022
2.620000, -1.485618, 0.686393
2.640000, -1.409588, 0.660658
2.660000, -1.327443, 0.636899
2.680000, -1.238148, 0.615216
