t,v,w
0.000000, 1.553410, 3.988249
0.030000, 0.900504, 3.950356
0.060000, 0.283904, 3.895079
0.090000, -0.444950, 3.821395
0.120000, -1.271402, 3.725997
0.150000, -1.898563, 3.610420
0.180000, -2.156105, 3.484522
0.210000, -2.211741, 3.357506
0.240000, -2.199238, 3.233140
0.270000, -2.168079, 3.112464
0.300000, -2.134364, 2.995640
0.330000, -2.103531, 2.882552
0.360000, -2.077668, 2.772991
0.390000, -2.057694, 2.666708
0.420000, -2.044001, 2.563445
0.450000, -2.036625, 2.462942
0.480000, -2.035298, 2.364950
0.510000, -2.039472, 2.269237
0.540000, -2.048358, 2.175598
0.570000, -2.060981, 2.083858
0.600000, -2.076254, 1.993876
0.630000, -2.093048, 1.905549
0.660000, -2.110263, 1.818810
0.690000, -2.126871, 1.733623
0.720000, -2.141951, 1.649984
0.750000, -2.154695, 1.567914
0.780000, -2.164411, 1.487456
0.810000, -2.170512, 1.408669
0.840000, -2.172501, 1.331630
0.870000, -2.169956, 1.256425
0.900000, -2.162517, 1.183151
0.930000, -2.149870, 1.111911
0.960000, -2.131735, 1.042817
0.990000, -2.107857, 0.975984
1.020000, -2.077987, 0.911532
1.050000, -2.041878, 0.849587
1.080000, -1.999261, 0.790277
1.110000, -1.949833, 0.733738
1.140000, -1.893232, 0.680110
1.170000, -1.828997, 0.629545
1.200000, -1.756529, 0.582205
1.230000, -1.675007, 0.538268
1.260000, -1.583284, 0.497938
1.290000, -1.479699, 0.461455
1.320000, -1.361781, 0.429114
1.350000, -1.225727, 0.401294
1.380000, -1.065489, 0.378508
1.410000, -0.871117, 0.361489
1.440000, -0.625797, 0.351340
1.470000, -0.301267, 0.349794
1.500000, 0.144598, 0.359596
1.530000, 0.742598, 0.384652
1.560000, 1.405665, 0.428287
1.590000, 1.890205, 0.488486
1.620000, 2.104668, 0.557529
1.650000, 2.163543, 0.628633
1.680000, 2.159794, 0.698675
1.710000, 2.131164, 0.766504
1.740000, 2.090458, 0.831673
1.770000, 2.041775, 0.893965
1.800000, 1.986346, 0.953234
1.830000, 1.924436, 1.009357
1.860000, 1.855950, 1.062216
1.890000, 1.780605, 1.111690
1.920000, 1.697957, 1.157649
1.950000, 1.607365, 1.199952
1.980000, 1.507897, 1.238437
2.010000, 1.398186, 1.272913
2.040000, 1.276177, 1.303141
2.070000, 1.138713, 1.328815
2.100000, 0.980820, 1.349517
2.130000, 0.794474, 1.364650
2.160000, 0.566559, 1.373322
2.190000, 0.276027, 1.374164
2.220000, -0.107020, 1.365078
2.250000, -0.606047, 1.343139
2.280000, -1.176415, 1.305594
2.310000, -1.654223, 1.252932
2.340000, -1.914074, 1.190486
2.370000, -2.001633, 1.124608
2.400000, -2.003160, 1.059171
2.430000, -1.966542, 0.995897
2.460000, -1.911267, 0.935519
2.490000, -1.844455, 0.878396
2.520000, -1.768454, 0.824748
2.550000, -1.683721, 0.774755
2.580000, -1.589807, 0.728594
2.610000, -1.485620, 0.686462
2.640000, -1.369357, 0.648592
2.670000, -1.238184, 0.615279
2.700000, -1.087633, 0.586920
2.730000, -0.910488, 0.564069
2.760000, -0.694839, 0.547547
2.790000, -0.420954, 0.538614
2.820000, -0.058087, 0.539246
2.850000, 0.428819, 0.552398
2.880000, 1.027914, 0.581519
2.910000, 1.588420, 0.627677
2.940000, 1.925852, 0.686320
2.970000, 2.053155, 0.750230
3.000000, 2.073313, 0.814554
3.030000, 2.048447, 0.877162
3.060000, 2.003472, 0.937205
3.090000, 1.947241, 0.994308
3.120000, 1.882723, 1.048262
3.150000, 1.810773, 1.098912
3.180000, 1.731408, 1.146118
3.210000, 1.644224, 1.189736
3.240000, 1.548474, 1.229610
3.270000, 1.442998, 1.265559
3.300000, 1.326043, 1.297363
3.330000, 1.194925, 1.324743
3.360000, 1.045447, 1.347327
3.390000, 0.870891, 1.364592
3.420000, 0.660297, 1.375771
3.450000, 0.395818, 1.379696
3.480000, 0.050292, 1.374560
3.510000, -0.406562, 1.357704
3.540000, -0.966002, 1.326036
3.570000, -1.502896, 1.278409
3.600000, -1.846911, 1.218569
3.630000, -1.987070, 1.153138
3.660000, -2.012698, 1.087039
3.690000, -1.987032, 1.022635
3.720000, -1.937722, 0.960919
3.750000, -1.875145, 0.902343
3.780000, -1.802890, 0.847160
3.810000, -1.721928, 0.795559
3.840000, -1.632097, 0.747713
