t,v,w
0.000000, 2.318182, 4.001224
0.010000, 1.889128, 3.997140
0.020000, 1.560708, 3.989386
0.030000, 1.278204, 3.978682
0.040000, 1.014762, 3.965361
0.050000, 0.753884, 3.949546
0.060000, 0.483498, 3.931220
0.070000, 0.193912, 3.910259
0.080000, -0.122151, 3.886453
0.090000, -0.467599, 3.859542
0.100000, -0.837221, 3.829275
0.110000, -1.213867, 3.795514
0.120000, -1.569151, 3.758349
0.130000, -1.872784, 3.718178
0.140000, -2.106173, 3.675645
0.150000, -2.268740, 3.631485
0.160000, -2.372915, 3.586361
0.170000, -2.435072, 3.540783
0.180000, -2.469535, 3.495098
0.190000, -2.486699, 3.449527
0.200000, -2.493390, 3.404205
0.210000, -2.493850, 3.359211
0.220000, -2.490635, 3.314591
0.230000, -2.485263, 3.270371
0.240000, -2.478627, 3.226563
0.250000, -2.471251, 3.183174
0.260000, -2.463445, 3.140207
0.270000, -2.455389, 3.097662
0.280000, -2.447190, 3.055536
0.290000, -2.438911, 3.013829
0.300000, -2.430590, 2.972536
0.310000, -2.422250, 2.931655
0.320000, -2.413904, 2.891183
0.330000, -2.405559, 2.851117
0.340000, -2.397221, 2.811453
0.350000, -2.388892, 2.772188
0.360000, -2.380574, 2.733319
0.370000, -2.372269, 2.694843
0.380000, -2.363975, 2.656755
0.390000, -2.355695, 2.619054
0.400000, -2.347428, 2.581736
0.410000, -2.339174, 2.544797
0.420000, -2.330933, 2.508234
0.430000, -2.322705, 2.472045
0.440000, -2.314490, 2.436226
0.450000, -2.306288, 2.400775
0.460000, -2.298098, 2.365687
0.470000, -2.289922, 2.330961
0.480000, -2.281757, 2.296592
0.490000, -2.273606, 2.262579
0.500000, -2.265467, 2.228918
0.510000, -2.257340, 2.195606
0.520000, -2.249225, 2.162641
0.530000, -2.241122, 2.130018
0.540000, -2.233031, 2.097737
0.550000, -2.224952, 2.065793
0.560000, -2.216885, 2.034184
0.570000, -2.208829, 2.002908
0.580000, -2.200785, 1.971960
0.590000, -2.192751, 1.941340
0.600000, -2.184729, 1.911043
0.610000, -2.176719, 1.881067
0.620000, -2.168719, 1.851411
0.630000, -2.160729, 1.822070
0.640000, -2.152751, 1.793042
0.650000, -2.144783, 1.764325
0.660000, -2.136826, 1.735916
0.670000, -2.128878, 1.707813
0.680000, -2.120941, 1.680013
0.690000, -2.113014, 1.652513
0.700000, -2.105097, 1.625311
0.710000, -2.097189, 1.598405
0.720000, -2.089291, 1.571792
0.730000, -2.081403, 1.545470
0.740000, -2.073524, 1.519436
0.750000, -2.065654, 1.493688
0.760000, -2.057793, 1.468223
0.770000, -2.049940, 1.443040
0.780000, -2.042097, 1.418135
0.790000, -2.034262, 1.393507
0.800000, -2.026435, 1.369153
0.810000, -2.018617, 1.345071
0.820000, -2.010807, 1.321259
0.830000, -2.003004, 1.297714
0.840000, -1.995210, 1.274434
0.850000, -1.987423, 1.251418
0.860000, -1.979643, 1.228662
0.870000, -1.971871, 1.206166
0.880000, -1.964105, 1.183926
0.890000, -1.956347, 1.161940
0.900000, -1.948595, 1.140207
0.910000, -1.940850, 1.118724
0.920000, -1.933111, 1.097490
0.930000, -1.925378, 1.076502
0.940000, -1.917651, 1.055757
0.950000, -1.909930, 1.035256
0.960000, -1.902215, 1.014994
0.970000, -1.894504, 0.994971
0.980000, -1.886799, 0.975184
0.990000, -1.879099, 0.955631
1.000000, -1.871404, 0.936311
1.010000, -1.863713, 0.917222
1.020000, -1.856026, 0.898361
1.030000, -1.848343, 0.879727
1.040000, -1.840665, 0.861318
1.050000, -1.832989, 0.843132
1.060000, -1.825317, 0.825167
1.070000, -1.817649, 0.807422
1.080000, -1.809983, 0.789895
1.090000, -1.802319, 0.772584
1.100000, -1.794658, 0.755487
1.110000, -1.786999, 0.738602
1.120000, -1.779342, 0.721928
1.130000, -1.771687, 0.705464
1.140000, -1.764032, 0.689207
1.150000, -1.756379, 0.673155
1.160000, -1.748726, 0.657308
1.170000, -1.741074, 0.641663
1.180000, -1.733421, 0.626219
1.190000, -1.725768, 0.610975
1.200000, -1.718115, 0.595928
1.210000, -1.710461, 0.581077
1.220000, -1.702806, 0.566421
1.230000, -1.695149, 0.551958
1.240000, -1.687490, 0.537686
1.250000, -1.679828, 0.523604
1.260000, -1.672164, 0.509711
1.270000, -1.664497, 0.496005
1.280000, -1.656826, 0.482485
1.290000, -1.649152, 0.469149
1.300000, -1.641473, 0.455995
1.310000, -1.633789, 0.443023
1.320000, -1.626100, 0.430230
1.330000, -1.618406, 0.417617
1.340000, -1.610705, 0.405180
1.350000, -1.602998, 0.392919
1.360000, -1.595284, 0.380833
1.370000, -1.587562, 0.368920
1.380000, -1.579832, 0.357178
1.390000, -1.572094, 0.345608
1.400000, -1.564346, 0.334206
1.410000, -1.556588, 0.322973
1.420000, -1.548821, 0.311907
1.430000, -1.541042, 0.301006
1.440000, -1.533251, 0.290269
1.450000, -1.525448, 0.279696
1.460000, -1.517633, 0.269285
1.470000, -1.509803, 0.259034
1.480000, -1.501960, 0.248944
1.490000, -1.494101, 0.239012
1.500000, -1.486226, 0.229237
1.510000, -1.478335, 0.219619
1.520000, -1.470426, 0.210156
1.530000, -1.462499, 0.200848
1.540000, -1.454552, 0.191692
1.550000, -1.446585, 0.182689
1.560000, -1.438597, 0.173837
1.570000, -1.430587, 0.165136
1.580000, -1.422554, 0.156583
1.590000, -1.414497, 0.148179
1.600000, -1.406414, 0.139922
1.610000, -1.398304, 0.131812
1.620000, -1.390167, 0.123847
1.630000, -1.382001, 0.116026
1.640000, -1.373804, 0.108350
1.650000, -1.365576, 0.100816
1.660000, -1.357314, 0.093425
1.670000, -1.349018, 0.086175
1.680000, -1.340685, 0.079066
1.690000, -1.332314, 0.072096
1.700000, -1.323904, 0.065266
1.710000, -1.315452, 0.058574
1.720000, -1.306956, 0.052019
1.730000, -1.298416, 0.045602
1.740000, -1.289827, 0.039321
1.750000, -1.281189, 0.033176
1.760000, -1.272499, 0.027166
1.770000, -1.263755, 0.021291
1.780000, -1.254954, 0.015550
1.790000, -1.246092, 0.009943
1.800000, -1.237169, 0.004469
1.810000, -1.228179, -0.000872
1.820000, -1.219121, -0.006081
1.830000, -1.209991, -0.011157
1.840000, -1.200785, -0.016102
1.850000, -1.191500, -0.020915
1.860000, -1.182132, -0.025597
1.870000, -1.172676, -0.030148
1.880000, -1.163127, -0.034569
1.890000, -1.153482, -0.038858
1.900000, -1.143735, -0.043016
1.910000, -1.133880, -0.047044
1.920000, -1.123913, -0.050941
1.930000, -1.113826, -0.054707
1.940000, -1.103613, -0.058342
1.950000, -1.093267, -0.061846
1.960000, -1.082780, -0.065218
1.970000, -1.072145, -0.068458
1.980000, -1.061353, -0.071566
1.990000, -1.050394, -0.074540
2.000000, -1.039258, -0.077381
2.010000, -1.027935, -0.080087
2.020000, -1.016413, -0.082658
2.030000, -1.004678, -0.085092
2.040000, -0.992719, -0.087389
2.050000, -0.980518, -0.089548
2.060000, -0.968061, -0.091566
2.070000, -0.955330, -0.093443
2.080000, -0.942306, -0.095177
2.090000, -0.928968, -0.096766
2.100000, -0.915293, -0.098208
2.110000, -0.901257, -0.099500
2.120000, -0.886831, -0.100640
2.130000, -0.871987, -0.101625
2.140000, -0.856690, -0.102453
2.150000, -0.840905, -0.103119
2.160000, -0.824592, -0.103619
2.170000, -0.807705, -0.103951
2.180000, -0.790196, -0.104109
2.190000, -0.772010, -0.104087
2.200000, -0.753085, -0.103882
2.210000, -0.733353, -0.103485
2.220000, -0.712738, -0.102890
2.230000, -0.691155, -0.102091
2.240000, -0.668506, -0.101077
2.250000, -0.644685, -0.099840
2.260000, -0.619569, -0.098370
2.270000, -0.593021, -0.096654
2.280000, -0.564884, -0.094679
2.290000, -0.534983, -0.092431
2.300000, -0.503116, -0.089894
2.310000, -0.469056, -0.087049
2.320000, -0.432546, -0.083875
2.330000, -0.393291, -0.080350
2.340000, -0.350961, -0.076446
2.350000, -0.305180, -0.072135
2.360000, -0.255526, -0.067384
2.370000, -0.201531, -0.062154
2.380000, -0.142676, -0.056405
2.390000, -0.078398, -0.050089
2.400000, -0.008103, -0.043153
2.410000, 0.068812, -0.035540
2.420000, 0.152929, -0.027186
2.430000, 0.244741, -0.018023
2.440000, 0.344575, -0.007979
2.450000, 0.452479, 0.003020
2.460000, 0.568082, 0.015046
2.470000, 0.690442, 0.028161
2.480000, 0.817925, 0.042418
2.490000, 0.948146, 0.057847
2.500000, 1.078047, 0.074451
2.510000, 1.204141, 0.092201
2.520000, 1.322906, 0.111031
2.530000, 1.431257, 0.130845
2.540000, 1.526945, 0.151518
2.550000, 1.608784, 0.172912
2.560000, 1.676648, 0.194879
2.570000, 1.731280, 0.217281
2.580000, 1.774006, 0.239988
2.590000, 1.806445, 0.262887
2.600000, 1.830274, 0.285882
2.610000, 1.847071, 0.308895
2.620000, 1.858231, 0.331862
2.630000, 1.864933, 0.354735
2.640000, 1.868145, 0.377474
2.650000, 1.868645, 0.400050
2.660000, 1.867044, 0.422440
2.670000, 1.863822, 0.444627
2.680000, 1.859350, 0.466599
2.690000, 1.853914, 0.488346
2.700000, 1.847734, 0.509861
2.710000, 1.840978, 0.531141
2.720000, 1.833776, 0.552182
2.730000, 1.826226, 0.572981
2.740000, 1.818404, 0.593538
2.750000, 1.810368, 0.613853
2.760000, 1.802162, 0.633924
2.770000, 1.793822, 0.653753
2.780000, 1.785373, 0.673341
2.790000, 1.776836, 0.692688
2.800000, 1.768225, 0.711795
2.810000, 1.759554, 0.730664
2.820000, 1.750831, 0.749296
2.830000, 1.742062, 0.767692
2.840000, 1.733254, 0.785855
2.850000, 1.724411, 0.803784
2.860000, 1.715534, 0.821483
2.870000, 1.706627, 0.838952
2.880000, 1.697691, 0.856193
2.890000, 1.688726, 0.873207
2.900000, 1.679734, 0.889996
2.910000, 1.670715, 0.906562
2.920000, 1.661668, 0.922906
2.930000, 1.652594, 0.939030
2.940000, 1.643491, 0.954934
2.950000, 1.634360, 0.970621
2.960000, 1.625199, 0.986092
2.970000, 1.616008, 1.001348
2.980000, 1.606786, 1.016391
2.990000, 1.597531, 1.031222
3.000000, 1.588243, 1.045842
3.010000, 1.578920, 1.060254
3.020000, 1.569560, 1.074457
3.030000, 1.560164, 1.088454
3.040000, 1.550728, 1.102246
3.050000, 1.541251, 1.115833
3.060000, 1.531733, 1.129218
3.070000, 1.522170, 1.142401
3.080000, 1.512561, 1.155383
3.090000, 1.502905, 1.168166
3.100000, 1.493199, 1.180751
3.110000, 1.483440, 1.193138
3.120000, 1.473628, 1.205330
3.130000, 1.463759, 1.217326
3.140000, 1.453831, 1.229128
3.150000, 1.443842, 1.240737
3.160000, 1.433788, 1.252153
3.170000, 1.423667, 1.263379
3.180000, 1.413476, 1.274413
3.190000, 1.403212, 1.285258
3.200000, 1.392871, 1.295913
3.210000, 1.382449, 1.306381
3.220000, 1.371944, 1.316660
3.230000, 1.361350, 1.326753
3.240000, 1.350665, 1.336660
3.250000, 1.339882, 1.346380
3.260000, 1.328999, 1.355915
3.270000, 1.318009, 1.365266
3.280000, 1.306907, 1.374431
3.290000, 1.295688, 1.383413
3.300000, 1.284346, 1.392211
3.310000, 1.272874, 1.400825
3.320000, 1.261266, 1.409255
3.330000, 1.249513, 1.417502
3.340000, 1.237609, 1.425565
3.350000, 1.225545, 1.433445
3.360000, 1.213311, 1.441141
3.370000, 1.200899, 1.448653
3.380000, 1.188298, 1.455980
3.390000, 1.175496, 1.463123
3.400000, 1.162482, 1.470080
3.410000, 1.149243, 1.476851
3.420000, 1.135764, 1.483435
3.430000, 1.122031, 1.489831
3.440000, 1.108026, 1.496038
3.450000, 1.093732, 1.502054
3.460000, 1.079130, 1.507879
3.470000, 1.064197, 1.513510
3.480000, 1.048911, 1.518946
3.490000, 1.033246, 1.524185
3.500000, 1.017174, 1.529223
3.510000, 1.000665, 1.534060
3.520000, 0.983684, 1.538691
3.530000, 0.966194, 1.543113
3.540000, 0.948154, 1.547324
3.550000, 0.929518, 1.551318
3.560000, 0.910236, 1.555091
3.570000, 0.890250, 1.558639
