t,v,w
0.000000, -0.756154, 3.812246
0.100000, -0.050123, 3.403583
0.200000, -2.018363, 3.075244
0.300000, 1.692009, 2.679449
0.400000, 0.567746, 2.644449
0.500000, -1.095375, 2.489597
0.600000, -1.298756, 2.191144
0.700000, -1.312210, 1.912694
0.800000, -1.535900, 1.661482
0.900000, -1.575013, 1.424873
1.000000, -1.660589, 1.211406
1.100000, -1.688921, 1.017149
1.200000, -1.658469, 0.842864
1.300000, -1.587487, 0.688751
1.400000, -1.498697, 0.554630
1.500000, -1.400897, 0.439876
1.600000, -1.294204, 0.343779
1.700000, -1.174478, 0.265924
1.800000, -1.032485, 0.206552
1.900000, -0.847142, 0.167255
2.000000, -0.560984, 0.152939
2.100000, 0.017871, 0.178741
2.200000, 1.242962, 0.290760
2.300000, 1.658539, 0.499662
2.400000, 1.641654, 0.707578
2.500000, 1.691907, 0.892608
2.600000, 1.702311, 1.059732
2.700000, 1.667060, 1.209173
2.800000, 1.604507, 1.341104
2.900000, 1.531588, 1.456053
3.000000, 1.454876, 1.554902
3.100000, 1.375634, 1.638640
3.200000, 1.293301, 1.708172
3.300000, 1.206368, 1.764231
3.400000, 1.112166, 1.807294
3.500000, 1.005854, 1.837450
3.600000, 0.877762, 1.854117
3.700000, 0.705748, 1.855322
3.800000, 0.429290, 1.835627
3.900000, -0.144850, 1.779032
4.000000, -1.279460, 1.641855
4.100000, -1.672292, 1.422079
4.200000, -1.688881, 1.206101
4.300000, -1.690233, 1.012803
4.400000, -1.641676, 0.840444
4.500000, -1.561443, 0.688801
4.600000, -1.467366, 0.557474
4.700000, -1.364421, 0.445763
4.800000, -1.250821, 0.353039
4.900000, -1.120374, 0.279125
5.000000, -0.959418, 0.224768
5.100000, -0.734200, 0.192769
5.200000, -0.341996, 0.191566
5.300000, 0.553739, 0.248568
5.400000, 1.733926, 0.415900
5.500000, 1.600340, 0.636993
5.600000, 1.664431, 0.828980
5.700000, 1.702653, 1.003157
5.800000, 1.693530, 1.159986
5.900000, 1.645308, 1.299501
6.000000, 1.578414, 1.421991
6.100000, 1.505126, 1.528152
6.200000, 1.429200, 1.618941
6.300000, 1.351025, 1.695334
6.400000, 1.269809, 1.758194
6.500000, 1.183958, 1.808201
6.600000, 1.090719, 1.845776
6.700000, 0.985086, 1.870948
6.800000, 0.856992, 1.883052
6.900000, 0.683177, 1.879972
7.000000, 0.399473, 1.855936
7.100000, -0.198172, 1.793958
7.200000, -1.334736, 1.649438
7.300000, -1.659096, 1.426737
7.400000, -1.687122, 1.211734
7.500000, -1.685142, 1.018829
7.600000, -1.632010, 0.846930
7.700000, -1.548971, 0.695906
7.800000, -1.452815, 0.565341
7.900000, -1.347489, 0.454536
8.000000, -1.230510, 0.362921
8.100000, -1.094621, 0.290443
8.200000, -0.923563, 0.238128
8.300000, -0.675544, 0.209489
8.400000, -0.217423, 0.215222
8.500000, 0.839454, 0.290195
8.600000, 1.791967, 0.476170
8.700000, 1.669297, 0.693515
8.800000, 1.689818, 0.883036
8.900000, 1.709872, 1.052958
9.000000, 1.688351, 1.205218
9.100000, 1.633953, 1.340180
9.200000, 1.565106, 1.458292
9.300000, 1.491350, 1.560346
9.400000, 1.415263, 1.647324
9.500000, 1.336869, 1.720184
9.600000, 1.255217, 1.779753
9.700000, 1.168545, 1.826663
9.800000, 1.073814, 1.861271
9.900000, 0.965426, 1.883507
10.000000, 0.831883, 1.892521
10.100000, 0.645875, 1.885793
10.200000, 0.329591, 1.856423
10.300000, -0.361684, 1.783806
10.400000, -1.501521, 1.620908
10.500000, -1.631562, 1.392668
10.600000, -1.682287, 1.182625
10.700000, -1.677310, 0.993172
10.800000, -1.619822, 0.824449
10.900000, -1.534893, 0.676473
11.000000, -1.437928, 0.548806
11.100000, -1.331846, 0.440741
11.200000, -1.213678, 0.351745
11.300000, -1.075571, 0.281842
11.400000, -0.899831, 0.232218
11.500000, -0.640074, 0.206790
11.600000, -0.145759, 0.217548
11.700000, 0.979006, 0.303161
11.800000, 1.767165, 0.496884
11.900000, 1.665323, 0.710967
12.000000, 1.692896, 0.898219
12.100000, 1.708590, 1.066349
12.200000, 1.681479, 1.216816
12.300000, 1.623558, 1.349934
12.400000, 1.552778, 1.466175
12.500000, 1.477480, 1.566359
12.600000, 1.399659, 1.651459
12.700000, 1.319050, 1.722398
12.800000, 1.234403, 1.779945
12.900000, 1.143477, 1.824644
13.000000, 1.042297, 1.856707
13.100000, 0.923219, 1.875790
13.200000, 0.769579, 1.880475
13.300000, 0.538554, 1.866822
13.400000, 0.097760, 1.823651
13.500000, -0.887381, 1.717338
13.600000, -1.740376, 1.514379
13.700000, -1.703007, 1.286298
13.800000, -1.703658, 1.084146
13.900000, -1.665448, 0.903829
14.000000, -1.591955, 0.744512
14.100000, -1.502064, 0.605733
14.200000, -1.403537, 0.486762
14.300000, -1.296249, 0.386836
14.400000, -1.176014, 0.305499
14.500000, -1.033610, 0.242957
14.600000, -0.848011, 0.200768
14.700000, -0.561937, 0.183792
14.800000, 0.015810, 0.207090
14.900000, 1.239497, 0.316617
15.000000, 1.660340, 0.523321
15.100000, 1.642334, 0.729455
15.200000, 1.691914, 0.912756
15.300000, 1.701370, 1.078219
15.400000, 1.664885, 1.226053
15.500000, 1.601059, 1.356406
15.600000, 1.526733, 1.469779
15.700000, 1.448276, 1.567024
15.800000, 1.366747, 1.649090
15.900000, 1.281317, 1.716822
16.000000, 1.190031, 1.770864
16.100000, 1.089372, 1.811554
16.200000, 0.972710, 1.838730
16.300000, 0.826030, 1.851303
16.400000, 0.614657, 1.846104
16.500000, 0.234629, 1.814223
16.600000, -0.624779, 1.728361
16.700000, -1.690915, 1.543244
16.800000, -1.658883, 1.312680
16.900000, -1.692171, 1.108094
17.000000, -1.680143, 0.924258
17.100000, -1.621435, 0.760770
17.200000, -1.538944, 0.617453
17.300000, -1.446287, 0.493740
17.400000, -1.346194, 0.388831
17.500000, -1.236531, 0.302058
17.600000, -1.111602, 0.233187
17.700000, -0.959270, 0.182821
17.800000, -0.750388, 0.153364
17.900000, -0.399385, 0.151986
18.000000, 0.379422, 0.201509
18.100000, 1.612896, 0.354836
18.200000, 1.565817, 0.575257
18.300000, 1.659726, 0.770167
18.400000, 1.698462, 0.948280
18.500000, 1.685615, 1.108571
18.600000, 1.632176, 1.250942
18.700000, 1.559802, 1.375620
18.800000, 1.480410, 1.483265
18.900000, 1.397109, 1.574782
19.000000, 1.309574, 1.651049
19.100000, 1.215930, 1.712755
19.200000, 1.112609, 1.760276
19.300000, 0.992829, 1.793481
19.400000, 0.842210, 1.811285
19.500000, 0.624976, 1.810455
19.600000, 0.232834, 1.781807
19.700000, -0.657596, 1.696903
19.800000, -1.715445, 1.510617
19.900000, -1.663424, 1.281030
20.000000, -1.694254, 1.078083
20.100000, -1.686475, 0.895805
20.200000, -1.632409, 0.733534
20.300000, -1.553580, 0.591047
20.400000, -1.464572, 0.467780
20.500000, -1.369009, 0.362897
20.600000, -1.265618, 0.275637
20.700000, -1.150209, 0.205571
20.800000, -1.014140, 0.152902
20.900000, -0.838094, 0.119081
21.000000, -0.570583, 0.108556
21.100000, -0.043618, 0.134795
21.200000, 1.110868, 0.239395
21.300000, 1.721630, 0.443994
21.400000, 1.672091, 0.658065
21.500000, 1.700476, 0.847176
21.600000, 1.696041, 1.016894
21.700000, 1.648600, 1.167998
21.800000, 1.577285, 1.300780
21.900000, 1.496719, 1.415825
22.000000, 1.411449, 1.514009
22.100000, 1.321475, 1.596214
22.200000, 1.224845, 1.663141
22.300000, 1.117675, 1.715156
22.400000, 0.992446, 1.752070
22.500000, 0.832888, 1.772626
22.600000, 0.597392, 1.773107
22.700000, 0.156096, 1.742727
22.800000, -0.845137, 1.647965
22.900000, -1.760270, 1.450882
23.000000, -1.694675, 1.224615
23.100000, -1.706289, 1.025052
23.200000, -1.689922, 0.846600
23.300000, -1.633131, 0.688063
23.400000, -1.554788, 0.549014
23.500000, -1.467567, 0.428786
23.600000, -1.374546, 0.326496
23.700000, -1.274582, 0.241344
23.800000, -1.164053, 0.172831
23.900000, -1.035685, 0.121004
24.000000, -0.873793, 0.086954
24.100000, -0.638560, 0.074142
24.200000, -0.205812, 0.092786
24.300000, 0.784067, 0.175305
24.400000, 1.768512, 0.363812
24.500000, 1.681563, 0.586912
24.600000, 1.700537, 0.782798
24.700000, 1.699571, 0.958221
24.800000, 1.655257, 1.114561
24.900000, 1.584432, 1.252175
25.000000, 1.502997, 1.371617
25.100000, 1.416328, 1.473740
25.200000, 1.324601, 1.559430
25.300000, 1.225767, 1.629383
25.400000, 1.115648, 1.683946
25.500000, 0.986029, 1.722867
25.600000, 0.818815, 1.744719
25.700000, 0.566577, 1.745300
25.800000, 0.077835, 1.712221
25.900000, -1.009258, 1.607372
26.000000, -1.748613, 1.402532
26.100000, -1.694322, 1.180888
26.200000, -1.706915, 0.985083
26.300000, -1.688503, 0.809975
26.400000, -1.630706, 0.654519
26.500000, -1.552591, 0.518290
26.600000, -1.466140, 0.400602
26.700000, -1.374160, 0.300569
26.800000, -1.275515, 0.217386
26.900000, -1.166741, 0.150544
27.000000, -1.040957, 0.100056
27.100000, -0.883493, 0.066916
27.200000, -0.657683, 0.054320
27.300000, -0.251099, 0.071617
27.400000, 0.678014, 0.148420
27.500000, 1.745518, 0.330897
27.600000, 1.660231, 0.556074
27.700000, 1.692092, 0.753791
27.800000, 1.698009, 0.931426
27.900000, 1.657238, 1.090022
28.000000, 1.587540, 1.229811
28.100000, 1.506233, 1.351286
28.200000, 1.419428, 1.455279
28.300000, 1.327524, 1.542678
28.400000, 1.228541, 1.614193
28.500000, 1.118349, 1.670187
28.600000, 0.988811, 1.710427
28.700000, 0.822035, 1.733520
28.800000, 0.571223, 1.735327
28.900000, 0.087178, 1.703644
29.000000, -0.992737, 1.600816
29.100000, -1.751888, 1.397464
29.200000, -1.695087, 1.175999
29.300000, -1.707104, 0.980465
29.400000, -1.688913, 0.805646
29.500000, -1.631220, 0.650465
29.600000, -1.552975, 0.514500
29.700000, -1.466244, 0.397079
29.800000, -1.373848, 0.297326
29.900000, -1.274604, 0.214450
30.000000, -1.164930, 0.147962
30.100000, -1.037686, 0.097912
30.200000, -0.877547, 0.065366
30.300000, -0.645832, 0.053706
30.400000, -0.222620, 0.072844
30.500000, 0.746219, 0.154216
30.600000, 1.762996, 0.341574
30.700000, 1.675136, 0.566365
30.800000, 1.697868, 0.763745
30.900000, 1.699714, 0.940712
31.000000, 1.657308, 1.098584
31.100000, 1.587564, 1.237696
31.200000, 1.506941, 1.358594
31.300000, 1.421203, 1.462142
31.400000, 1.330743, 1.549250
31.500000, 1.233754, 1.620661
31.600000, 1.126486, 1.676791
31.700000, 1.001675, 1.717516
31.800000, 0.843693, 1.741679
31.900000, 0.612906, 1.745765
32.000000, 0.186588, 1.719562
32.100000, -0.783524, 1.631168
32.200000, -1.755177, 1.439640
32.300000, -1.686805, 1.214068
32.400000, -1.702909, 1.015320
32.500000, -1.690339, 0.837483
32.600000, -1.635330, 0.679428
32.700000, -1.557151, 0.540801
32.800000, -1.469351, 0.420998
32.900000, -1.375320, 0.319181
33.000000, -1.273865, 0.234584
33.100000, -1.161088, 0.166761
33.200000, -1.029065, 0.115849
33.300000, -0.860424, 0.083123
33.400000, -0.610023, 0.072516
33.500000, -0.133615, 0.095745
33.600000, 0.945346, 0.189771
33.700000, 1.767042, 0.388369
33.800000, 1.687623, 0.609157
33.900000, 1.704526, 0.803339
34.000000, 1.701297, 0.977216
34.100000, 1.656701, 1.132167
34.200000, 1.587296, 1.268614
34.300000, 1.508243, 1.387175
34.400000, 1.424745, 1.488753
34.500000, 1.337202, 1.574291
34.600000, 1.244111, 1.644576
34.700000, 1.142386, 1.700116
34.800000, 1.026224, 1.740964
34.900000, 0.883663, 1.766355
35.000000, 0.686116, 1.773769
35.100000, 0.350756, 1.756056
35.200000, -0.388877, 1.691227
35.300000, -1.565124, 1.529783
35.400000, -1.609375, 1.303853
35.500000, -1.676250, 1.099918
35.600000, -1.688872, 0.915188
35.700000, -1.646792, 0.750041
35.800000, -1.572146, 0.604561
35.900000, -1.484010, 0.478398
36.000000, -1.388399, 0.370824
36.100000, -1.284738, 0.281100
36.200000, -1.169061, 0.208789
36.300000, -1.032954, 0.154064
36.400000, -0.857652, 0.118319
36.500000, -0.593470, 0.105849
36.600000, -0.078552, 0.129627
36.700000, 1.066958, 0.230316
36.800000, 1.737474, 0.433689
36.900000, 1.670318, 0.649974
37.000000, 1.699296, 0.840511
37.100000, 1.702200, 1.011644
37.200000, 1.662022, 1.164384
37.300000, 1.595870, 1.299059
37.400000, 1.519758, 1.416250
37.500000, 1.439559, 1.516856
37.600000, 1.356112, 1.601849
37.700000, 1.268420, 1.672084
37.800000, 1.174272, 1.728193
37.900000, 1.069659, 1.770467
38.000000, 0.946834, 1.798632
38.100000, 0.788883, 1.811314
38.200000, 0.552153, 1.804573
38.300000, 0.100508, 1.767044
38.400000, -0.909600, 1.664171
38.500000, -1.747907, 1.463003
38.600000, -1.702822, 1.237979
38.700000, -1.705786, 1.038902
38.800000, -1.672593, 0.861324
38.900000, -1.602702, 0.704324
39.000000, -1.515211, 0.567468
39.100000, -1.418993, 0.450063
39.200000, -1.314579, 0.351338
39.300000, -1.198446, 0.270781
39.400000, -1.062704, 0.208455
39.500000, -0.889889, 0.165575
39.600000, -0.634491, 0.146032
39.700000, -0.149812, 0.161608
39.800000, 0.954042, 0.250058
39.900000, 1.771588, 0.445817
40.000000, 1.674480, 0.663576
40.100000, 1.697382, 0.854397
40.200000, 1.707774, 1.025568
40.300000, 1.675979, 1.178618
40.400000, 1.615152, 1.313927
40.500000, 1.542605, 1.432026
40.600000, 1.465835, 1.533783
40.700000, 1.386464, 1.620193
