t,v,w
0.000000, -0.749346, 3.812444
0.100000, -0.100827, 3.404027
0.200000, -2.021183, 3.072614
0.300000, 1.507108, 2.677067
0.400000, 0.507314, 2.633002
0.500000, -1.092000, 2.475863
0.600000, -1.411059, 2.181111
0.700000, -1.301052, 1.900779
0.800000, -1.608245, 1.654799
0.900000, -1.631095, 1.419489
1.000000, -1.676048, 1.208801
1.100000, -1.654688, 1.019540
1.200000, -1.577825, 0.852213
1.300000, -1.472841, 0.707151
1.400000, -1.350795, 0.584258
1.500000, -1.208372, 0.483497
1.600000, -1.030910, 0.405718
1.700000, -0.779352, 0.354097
1.800000, -0.328469, 0.338536
1.900000, 0.731953, 0.392688
2.000000, 1.828977, 0.567589
2.100000, 1.600466, 0.783905
2.200000, 1.626641, 0.968713
2.300000, 1.689519, 1.135493
2.400000, 1.723061, 1.287357
2.500000, 1.720290, 1.424456
2.600000, 1.688503, 1.547074
2.700000, 1.642962, 1.655745
2.800000, 1.594055, 1.751305
2.900000, 1.545984, 1.834804
3.000000, 1.500120, 1.907354
3.100000, 1.456963, 1.970041
3.200000, 1.416794, 2.023901
3.300000, 1.379844, 2.069912
3.400000, 1.346337, 2.108998
3.500000, 1.316490, 2.142033
3.600000, 1.290497, 2.169846
3.700000, 1.268510, 2.193215
3.800000, 1.250613, 2.212873
3.900000, 1.236792, 2.229497
4.000000, 1.226914, 2.243709
4.100000, 1.220713, 2.256060
4.200000, 1.217792, 2.267029
4.300000, 1.217649, 2.277013
4.400000, 1.219716, 2.286329
4.500000, 1.223414, 2.295210
4.600000, 1.228205, 2.303821
4.700000, 1.233631, 2.312265
4.800000, 1.239337, 2.320597
4.900000, 1.245070, 2.328840
5.000000, 1.250672, 2.336995
5.100000, 1.256058, 2.345051
5.200000, 1.261194, 2.352994
5.300000, 1.266078, 2.360807
5.400000, 1.270723, 2.368476
5.500000, 1.275151, 2.375992
5.600000, 1.279384, 2.383346
5.700000, 1.283441, 2.390533
5.800000, 1.287338, 2.397549
5.900000, 1.291085, 2.404393
6.000000, 1.294691, 2.411064
6.100000, 1.298161, 2.417561
6.200000, 1.301498, 2.423887
6.300000, 1.304705, 2.430040
6.400000, 1.307783, 2.436022
6.500000, 1.310732, 2.441834
6.600000, 1.313554, 2.447476
6.700000, 1.316248, 2.452949
6.800000, 1.318814, 2.458254
6.900000, 1.321253, 2.463392
7.000000, 1.323564, 2.468363
7.100000, 1.325747, 2.473168
7.200000, 1.327803, 2.477806
7.300000, 1.329731, 2.482280
7.400000, 1.331531, 2.486589
7.500000, 1.333203, 2.490733
7.600000, 1.334748, 2.494713
7.700000, 1.336164, 2.498529
7.800000, 1.337452, 2.502182
7.900000, 1.338612, 2.505671
8.000000, 1.339643, 2.508997
8.100000, 1.340546, 2.512161
8.200000, 1.341319, 2.515161
8.300000, 1.341963, 2.517999
8.400000, 1.342478, 2.520675
8.500000, 1.342863, 2.523188
8.600000, 1.343117, 2.525538
8.700000, 1.343241, 2.527726
8.800000, 1.343234, 2.529751
8.900000, 1.343095, 2.531613
9.000000, 1.342825, 2.533312
9.100000, 1.342421, 2.534849
9.200000, 1.341885, 2.536222
9.300000, 1.341215, 2.537431
9.400000, 1.340410, 2.538476
9.500000, 1.339470, 2.539357
9.600000, 1.338395, 2.540074
9.700000, 1.337183, 2.540625
9.800000, 1.335833, 2.541011
9.900000, 1.334345, 2.541230
10.000000, 1.332718, 2.541283
10.100000, 1.330950, 2.541169
10.200000, 1.329042, 2.540887
10.300000, 1.326990, 2.540436
10.400000, 1.324796, 2.539815
10.500000, 1.322456, 2.539025
10.600000, 1.319970, 2.538063
10.700000, 1.317337, 2.536929
10.800000, 1.314555, 2.535622
10.900000, 1.311622, 2.534141
11.000000, 1.308537, 2.532484
11.100000, 1.305298, 2.530651
11.200000, 1.301904, 2.528640
11.300000, 1.298351, 2.526449
11.400000, 1.294639, 2.524078
11.500000, 1.290766, 2.521525
11.600000, 1.286727, 2.518787
11.700000, 1.282523, 2.515864
11.800000, 1.278148, 2.512754
11.900000, 1.273602, 2.509453
12.000000, 1.268881, 2.505961
12.100000, 1.263982, 2.502275
12.200000, 1.258901, 2.498393
12.300000, 1.253635, 2.494312
12.400000, 1.248180, 2.490030
12.500000, 1.242532, 2.485543
12.600000, 1.236687, 2.480849
12.700000, 1.230639, 2.475944
12.800000, 1.224385, 2.470825
12.900000, 1.217918, 2.465488
13.000000, 1.211232, 2.459929
13.100000, 1.204322, 2.454145
13.200000, 1.197179, 2.448129
13.300000, 1.189798, 2.441879
13.400000, 1.182169, 2.435387
13.500000, 1.174284, 2.428649
13.600000, 1.166133, 2.421658
13.700000, 1.157705, 2.414408
13.800000, 1.148988, 2.406892
13.900000, 1.139969, 2.399101
14.000000, 1.130634, 2.391027
14.100000, 1.120966, 2.382660
14.200000, 1.110947, 2.373991
14.300000, 1.100555, 2.365007
14.400000, 1.089768, 2.355696
14.500000, 1.078559, 2.346045
14.600000, 1.066896, 2.336036
14.700000, 1.054743, 2.325652
14.800000, 1.042057, 2.314873
14.900000, 1.028789, 2.303675
15.000000, 1.014877, 2.292033
15.100000, 1.000249, 2.279914
15.200000, 0.984813, 2.267283
15.300000, 0.968457, 2.254096
15.400000, 0.951034, 2.240300
15.500000, 0.932354, 2.225831
15.600000, 0.912164, 2.210607
15.700000, 0.890114, 2.194527
15.800000, 0.865704, 2.177454
15.900000, 0.838196, 2.159203
16.000000, 0.806448, 2.139517
16.100000, 0.768589, 2.118016
16.200000, 0.721354, 2.094107
16.300000, 0.658559, 2.066808
16.400000, 0.567216, 2.034337
16.500000, 0.416262, 1.993073
16.600000, 0.119617, 1.934533
16.700000, -0.554056, 1.836143
16.800000, -1.510983, 1.658944
16.900000, -1.662229, 1.433762
17.000000, -1.672446, 1.225477
17.100000, -1.620466, 1.038870
17.200000, -1.536880, 0.874237
17.300000, -1.440413, 0.731147
17.400000, -1.335412, 0.608779
17.500000, -1.219767, 0.506412
17.600000, -1.086931, 0.423805
17.700000, -0.922326, 0.361701
17.800000, -0.689251, 0.323063
17.900000, -0.274176, 0.317057
18.000000, 0.675323, 0.373568
18.100000, 1.761108, 0.539943
18.200000, 1.651092, 0.750746
18.300000, 1.685065, 0.934200
18.400000, 1.700239, 1.098743
18.500000, 1.666964, 1.245503
18.600000, 1.599951, 1.374533
18.700000, 1.518182, 1.486085
18.800000, 1.429144, 1.580771
18.900000, 1.333318, 1.659283
19.000000, 1.228037, 1.722107
19.100000, 1.107569, 1.769298
19.200000, 0.960051, 1.800093
19.300000, 0.757344, 1.812000
19.400000, 0.417751, 1.797968
19.500000, -0.332661, 1.736050
19.600000, -1.577723, 1.573145
19.700000, -1.559775, 1.340302
19.800000, -1.656717, 1.132359
19.900000, -1.700219, 0.941869
20.000000, -1.695463, 0.769772
20.100000, -1.650442, 0.615989
20.200000, -1.586049, 0.480139
20.300000, -1.515627, 0.361412
20.400000, -1.443654, 0.258702
20.500000, -1.371087, 0.170848
20.600000, -1.297838, 0.096761
20.700000, -1.223416, 0.035468
20.800000, -1.146984, -0.013867
20.900000, -1.067189, -0.051910
21.000000, -0.981739, -0.079105
21.100000, -0.886448, -0.095562
21.200000, -0.772899, -0.100801
21.300000, -0.621959, -0.093137
21.400000, -0.382987, -0.067937
21.500000, 0.097215, -0.012030
21.600000, 1.085110, 0.110462
21.700000, 1.694898, 0.314975
21.800000, 1.695437, 0.529445
21.900000, 1.659623, 0.720262
22.000000, 1.577959, 0.888483
22.100000, 1.471904, 1.034196
22.200000, 1.349960, 1.157662
22.300000, 1.208218, 1.258992
22.400000, 1.032195, 1.337395
22.500000, 0.783875, 1.389804
22.600000, 0.342335, 1.406633
22.700000, -0.693088, 1.355364
22.800000, -1.824454, 1.183680
22.900000, -1.596232, 0.967488
23.000000, -1.627640, 0.782912
23.100000, -1.690131, 0.616177
23.200000, -1.722068, 0.464449
23.300000, -1.716697, 0.327606
23.400000, -1.682253, 0.205385
23.500000, -1.634392, 0.097263
23.600000, -1.583261, 0.002407
23.700000, -1.532804, -0.080226
23.800000, -1.484270, -0.151734
23.900000, -1.438103, -0.213187
24.000000, -1.394557, -0.265600
24.100000, -1.353851, -0.309932
24.200000, -1.316217, -0.347089
24.300000, -1.281903, -0.377931
24.400000, -1.251168, -0.403275
24.500000, -1.224267, -0.423900
24.600000, -1.201431, -0.440550
24.700000, -1.182832, -0.453930
24.800000, -1.168545, -0.464703
24.900000, -1.158512, -0.473483
25.000000, -1.152505, -0.480822
25.100000, -1.150114, -0.487200
25.200000, -1.150761, -0.493010
25.300000, -1.153747, -0.498556
25.400000, -1.158329, -0.504045
25.500000, -1.163798, -0.509602
25.600000, -1.169554, -0.515275
25.700000, -1.175148, -0.521060
25.800000, -1.180292, -0.526918
25.900000, -1.184844, -0.532791
26.000000, -1.188769, -0.538620
26.100000, -1.192108, -0.544349
26.200000, -1.194938, -0.549933
26.300000, -1.197349, -0.555339
26.400000, -1.199429, -0.560544
26.500000, -1.201248, -0.565535
26.600000, -1.202863, -0.570307
26.700000, -1.204314, -0.574859
26.800000, -1.205624, -0.579194
26.900000, -1.206806, -0.583315
27.000000, -1.207865, -0.587226
27.100000, -1.208801, -0.590933
27.200000, -1.209609, -0.594439
27.300000, -1.210284, -0.597746
27.400000, -1.210822, -0.600857
27.500000, -1.211215, -0.603774
27.600000, -1.211461, -0.606497
27.700000, -1.211555, -0.609027
27.800000, -1.211494, -0.611364
27.900000, -1.211277, -0.613508
28.000000, -1.210900, -0.615458
28.100000, -1.210364, -0.617215
28.200000, -1.209665, -0.618777
28.300000, -1.208805, -0.620144
28.400000, -1.207780, -0.621315
28.500000, -1.206590, -0.622289
28.600000, -1.205234, -0.623067
28.700000, -1.203710, -0.623646
28.800000, -1.202017, -0.624025
28.900000, -1.200154, -0.624205
29.000000, -1.198117, -0.624183
29.100000, -1.195906, -0.623959
29.200000, -1.193518, -0.623531
29.300000, -1.190951, -0.622898
29.400000, -1.188202, -0.622057
29.500000, -1.185270, -0.621009
29.600000, -1.182150, -0.619750
29.700000, -1.178840, -0.618278
29.800000, -1.175336, -0.616593
29.900000, -1.171636, -0.614690
30.000000, -1.167735, -0.612569
30.100000, -1.163630, -0.610226
30.200000, -1.159315, -0.607658
30.300000, -1.154787, -0.604863
30.400000, -1.150040, -0.601836
30.500000, -1.145068, -0.598576
30.600000, -1.139867, -0.595077
30.700000, -1.134429, -0.591336
30.800000, -1.128747, -0.587348
30.900000, -1.122814, -0.583108
31.000000, -1.116622, -0.578611
31.100000, -1.110161, -0.573853
31.200000, -1.103421, -0.568825
31.300000, -1.096392, -0.563523
31.400000, -1.089061, -0.557938
31.500000, -1.081414, -0.552062
31.600000, -1.073436, -0.545888
31.700000, -1.065111, -0.539404
31.800000, -1.056418, -0.532602
