t,v,w
0.000000, 2.325968, 4.001266
0.010000, 1.903254, 3.997291
0.020000, 1.581408, 3.989709
0.030000, 1.306356, 3.979244
0.040000, 1.051734, 3.966242
0.050000, 0.801522, 3.950839
0.060000, 0.544122, 3.933041
0.070000, 0.270165, 3.912744
0.080000, -0.027794, 3.889767
0.090000, -0.353958, 3.863865
0.100000, -0.706280, 3.834786
0.110000, -1.072647, 3.802344
0.120000, -1.429500, 3.766535
0.130000, -1.747440, 3.727627
0.140000, -2.003306, 3.686159
0.150000, -2.189666, 3.642820
0.160000, -2.314052, 3.598289
0.170000, -2.391178, 3.553123
0.180000, -2.435822, 3.507723
0.190000, -2.459557, 3.462351
0.200000, -2.470351, 3.417175
0.210000, -2.473314, 3.372294
0.220000, -2.471595, 3.327766
0.230000, -2.467094, 3.283626
0.240000, -2.460945, 3.239891
0.250000, -2.453821, 3.196571
0.260000, -2.446120, 3.153670
0.270000, -2.438080, 3.111190
0.280000, -2.429841, 3.069129
0.290000, -2.421488, 3.027486
0.300000, -2.413071, 2.986258
0.310000, -2.404621, 2.945443
0.320000, -2.396155, 2.905038
0.330000, -2.387684, 2.865039
0.340000, -2.379216, 2.825442
0.350000, -2.370753, 2.786246
0.360000, -2.362299, 2.747446
0.370000, -2.353855, 2.709040
0.380000, -2.345422, 2.671024
0.390000, -2.336999, 2.633394
0.400000, -2.328588, 2.596148
0.410000, -2.320189, 2.559283
0.420000, -2.311801, 2.522795
0.430000, -2.303425, 2.486681
0.440000, -2.295060, 2.450938
0.450000, -2.286706, 2.415564
0.460000, -2.278364, 2.380554
0.470000, -2.270033, 2.345907
0.480000, -2.261712, 2.311618
0.490000, -2.253403, 2.277686
0.500000, -2.245104, 2.244106
0.510000, -2.236816, 2.210877
0.520000, -2.228538, 2.177995
0.530000, -2.220271, 2.145457
0.540000, -2.212014, 2.113261
0.550000, -2.203766, 2.081404
0.560000, -2.195529, 2.049882
0.570000, -2.187301, 2.018694
0.580000, -2.179083, 1.987836
0.590000, -2.170874, 1.957306
0.600000, -2.162674, 1.927101
0.610000, -2.154484, 1.897218
0.620000, -2.146302, 1.867655
0.630000, -2.138130, 1.838409
0.640000, -2.129965, 1.809477
0.650000, -2.121810, 1.780857
0.660000, -2.113662, 1.752546
0.670000, -2.105523, 1.724542
0.680000, -2.097391, 1.696842
0.690000, -2.089267, 1.669444
0.700000, -2.081151, 1.642345
0.710000, -2.073042, 1.615543
0.720000, -2.064941, 1.589035
0.730000, -2.056846, 1.562818
0.740000, -2.048758, 1.536892
0.750000, -2.040677, 1.511252
0.760000, -2.032603, 1.485897
0.770000, -2.024534, 1.460825
0.780000, -2.016472, 1.436033
0.790000, -2.008415, 1.411518
0.800000, -2.000365, 1.387279
0.810000, -1.992319, 1.363314
0.820000, -1.984279, 1.339619
0.830000, -1.976244, 1.316194
0.840000, -1.968213, 1.293035
0.850000, -1.960187, 1.270140
0.860000, -1.952166, 1.247508
0.870000, -1.944148, 1.225136
0.880000, -1.936134, 1.203022
